location,scenario,current_treatment,next_treatment,value
Brazil,baseline,none,ezetimibe,0.162435552432126
Brazil,baseline,none,fibrates,0.231921872083647
Brazil,baseline,none,high_potency_statin_high_dose,0
Brazil,baseline,none,high_potency_statin_high_dose_fdc,0
Brazil,baseline,none,high_potency_statin_high_dose_multi,0
Brazil,baseline,none,high_potency_statin_low_dose,0
Brazil,baseline,none,high_potency_statin_low_dose_fdc,0
Brazil,baseline,none,high_potency_statin_low_dose_multi,0
Brazil,baseline,none,lifestyle_intervention,0
Brazil,baseline,none,low_potency_statin_high_dose,0
Brazil,baseline,none,low_potency_statin_high_dose_fdc,0
Brazil,baseline,none,low_potency_statin_high_dose_multi,0
Brazil,baseline,none,low_potency_statin_low_dose,0.605642575484227
Brazil,baseline,none,low_potency_statin_low_dose_fdc,0
Brazil,baseline,none,low_potency_statin_low_dose_multi,0
China,baseline,none,ezetimibe,0.009475581105668
China,baseline,none,fibrates,0.191698294676201
China,baseline,none,high_potency_statin_high_dose,0
China,baseline,none,high_potency_statin_high_dose_fdc,0
China,baseline,none,high_potency_statin_high_dose_multi,0
China,baseline,none,high_potency_statin_low_dose,0
China,baseline,none,high_potency_statin_low_dose_fdc,0
China,baseline,none,high_potency_statin_low_dose_multi,0
China,baseline,none,lifestyle_intervention,0
China,baseline,none,low_potency_statin_high_dose,0
China,baseline,none,low_potency_statin_high_dose_fdc,0
China,baseline,none,low_potency_statin_high_dose_multi,0
China,baseline,none,low_potency_statin_low_dose,0.798826124218132
China,baseline,none,low_potency_statin_low_dose_fdc,0
China,baseline,none,low_potency_statin_low_dose_multi,0
France,baseline,none,ezetimibe,0.086108046803478
France,baseline,none,fibrates,0.259966031133382
France,baseline,none,high_potency_statin_high_dose,0
France,baseline,none,high_potency_statin_high_dose_fdc,0
France,baseline,none,high_potency_statin_high_dose_multi,0
France,baseline,none,high_potency_statin_low_dose,0
France,baseline,none,high_potency_statin_low_dose_fdc,0
France,baseline,none,high_potency_statin_low_dose_multi,0
France,baseline,none,lifestyle_intervention,0
France,baseline,none,low_potency_statin_high_dose,0
France,baseline,none,low_potency_statin_high_dose_fdc,0
France,baseline,none,low_potency_statin_high_dose_multi,0
France,baseline,none,low_potency_statin_low_dose,0.65392592206314
France,baseline,none,low_potency_statin_low_dose_fdc,0
France,baseline,none,low_potency_statin_low_dose_multi,0
Italy,baseline,none,ezetimibe,0.262424170154142
Italy,baseline,none,fibrates,0.016401510634634
Italy,baseline,none,high_potency_statin_high_dose,0
Italy,baseline,none,high_potency_statin_high_dose_fdc,0
Italy,baseline,none,high_potency_statin_high_dose_multi,0
Italy,baseline,none,high_potency_statin_low_dose,0
Italy,baseline,none,high_potency_statin_low_dose_fdc,0
Italy,baseline,none,high_potency_statin_low_dose_multi,0
Italy,baseline,none,lifestyle_intervention,0
Italy,baseline,none,low_potency_statin_high_dose,0
Italy,baseline,none,low_potency_statin_high_dose_fdc,0
Italy,baseline,none,low_potency_statin_high_dose_multi,0
Italy,baseline,none,low_potency_statin_low_dose,0.721174319211224
Italy,baseline,none,low_potency_statin_low_dose_fdc,0
Italy,baseline,none,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,none,ezetimibe,0.002581624417327
Russian Federation,baseline,none,fibrates,0.018071370921289
Russian Federation,baseline,none,high_potency_statin_high_dose,0
Russian Federation,baseline,none,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,none,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,none,high_potency_statin_low_dose,0
Russian Federation,baseline,none,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,none,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,none,lifestyle_intervention,0
Russian Federation,baseline,none,low_potency_statin_high_dose,0
Russian Federation,baseline,none,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,none,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,none,low_potency_statin_low_dose,0.979347004661384
Russian Federation,baseline,none,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,none,low_potency_statin_low_dose_multi,0
Spain,baseline,none,ezetimibe,0.191140649401893
Spain,baseline,none,fibrates,0.008191742117224
Spain,baseline,none,high_potency_statin_high_dose,0
Spain,baseline,none,high_potency_statin_high_dose_fdc,0
Spain,baseline,none,high_potency_statin_high_dose_multi,0
Spain,baseline,none,high_potency_statin_low_dose,0
Spain,baseline,none,high_potency_statin_low_dose_fdc,0
Spain,baseline,none,high_potency_statin_low_dose_multi,0
Spain,baseline,none,lifestyle_intervention,0
Spain,baseline,none,low_potency_statin_high_dose,0
Spain,baseline,none,low_potency_statin_high_dose_fdc,0
Spain,baseline,none,low_potency_statin_high_dose_multi,0
Spain,baseline,none,low_potency_statin_low_dose,0.800667608480883
Spain,baseline,none,low_potency_statin_low_dose_fdc,0
Spain,baseline,none,low_potency_statin_low_dose_multi,0
Brazil,baseline,none,none,0
China,baseline,none,none,0
Italy,baseline,none,none,0
France,baseline,none,none,0
Russian Federation,baseline,none,none,0
Spain,baseline,none,none,0
Brazil,baseline,ezetimibe,ezetimibe,0
Brazil,baseline,ezetimibe,fibrates,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Brazil,baseline,ezetimibe,lifestyle_intervention,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Brazil,baseline,ezetimibe,none,0
China,baseline,ezetimibe,ezetimibe,0
China,baseline,ezetimibe,fibrates,0
China,baseline,ezetimibe,high_potency_statin_high_dose,0
China,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
China,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
China,baseline,ezetimibe,high_potency_statin_low_dose,0
China,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
China,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
China,baseline,ezetimibe,lifestyle_intervention,0
China,baseline,ezetimibe,low_potency_statin_high_dose,0
China,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
China,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
China,baseline,ezetimibe,low_potency_statin_low_dose,0
China,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
China,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
China,baseline,ezetimibe,none,0
France,baseline,ezetimibe,ezetimibe,0
France,baseline,ezetimibe,fibrates,0
France,baseline,ezetimibe,high_potency_statin_high_dose,0
France,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
France,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
France,baseline,ezetimibe,high_potency_statin_low_dose,0
France,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
France,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
France,baseline,ezetimibe,lifestyle_intervention,0
France,baseline,ezetimibe,low_potency_statin_high_dose,0
France,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
France,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
France,baseline,ezetimibe,low_potency_statin_low_dose,0
France,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
France,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
France,baseline,ezetimibe,none,0
Italy,baseline,ezetimibe,ezetimibe,0
Italy,baseline,ezetimibe,fibrates,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Italy,baseline,ezetimibe,lifestyle_intervention,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Italy,baseline,ezetimibe,low_potency_statin_low_dose,0
Italy,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Italy,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Italy,baseline,ezetimibe,none,0
Russian Federation,baseline,ezetimibe,ezetimibe,0
Russian Federation,baseline,ezetimibe,fibrates,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,ezetimibe,lifestyle_intervention,0
Russian Federation,baseline,ezetimibe,low_potency_statin_high_dose,0
Russian Federation,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,ezetimibe,low_potency_statin_low_dose,0
Russian Federation,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,ezetimibe,none,0
Spain,baseline,ezetimibe,ezetimibe,0
Spain,baseline,ezetimibe,fibrates,0
Spain,baseline,ezetimibe,high_potency_statin_high_dose,0
Spain,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
