location,scenario,current_treatment,next_treatment,value
Brazil,baseline,ezetimibe,ezetimibe,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Brazil,baseline,ezetimibe,lifestyle_intervention,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Brazil,baseline,ezetimibe,none,0
Brazil,baseline,ezetimibe,fibrates,0.276900330186057
Brazil,baseline,ezetimibe,low_potency_statin_low_dose,0.723099669813943
China,baseline,ezetimibe,ezetimibe,0
China,baseline,ezetimibe,high_potency_statin_high_dose,0
China,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
China,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
China,baseline,ezetimibe,high_potency_statin_low_dose,0
China,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
China,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
China,baseline,ezetimibe,lifestyle_intervention,0
China,baseline,ezetimibe,low_potency_statin_high_dose,0
China,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
China,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
China,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
China,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
China,baseline,ezetimibe,none,0
China,baseline,ezetimibe,fibrates,0.193532124013846
China,baseline,ezetimibe,low_potency_statin_low_dose,0.806467875986154
France,baseline,ezetimibe,ezetimibe,0
France,baseline,ezetimibe,high_potency_statin_high_dose,0
France,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
France,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
France,baseline,ezetimibe,high_potency_statin_low_dose,0
France,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
France,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
France,baseline,ezetimibe,lifestyle_intervention,0
France,baseline,ezetimibe,low_potency_statin_high_dose,0
France,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
France,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
France,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
France,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
France,baseline,ezetimibe,none,0
France,baseline,ezetimibe,fibrates,0.284460356855204
France,baseline,ezetimibe,low_potency_statin_low_dose,0.715539643144796
Italy,baseline,ezetimibe,ezetimibe,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Italy,baseline,ezetimibe,lifestyle_intervention,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Italy,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Italy,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Italy,baseline,ezetimibe,none,0
Italy,baseline,ezetimibe,fibrates,0.022237050037366
Italy,baseline,ezetimibe,low_potency_statin_low_dose,0.977762949962635
Russian Federation,baseline,ezetimibe,ezetimibe,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,ezetimibe,lifestyle_intervention,0
Russian Federation,baseline,ezetimibe,low_potency_statin_high_dose,0
Russian Federation,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,ezetimibe,none,0
Russian Federation,baseline,ezetimibe,fibrates,0.01811814516725
Russian Federation,baseline,ezetimibe,low_potency_statin_low_dose,0.98188185483275
Spain,baseline,ezetimibe,ezetimibe,0
Spain,baseline,ezetimibe,high_potency_statin_high_dose,0
Spain,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Spain,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Spain,baseline,ezetimibe,high_potency_statin_low_dose,0
Spain,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Spain,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Spain,baseline,ezetimibe,lifestyle_intervention,0
Spain,baseline,ezetimibe,low_potency_statin_high_dose,0
Spain,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Spain,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Spain,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0
Spain,baseline,ezetimibe,low_potency_statin_low_dose_multi,0
Spain,baseline,ezetimibe,none,0
Spain,baseline,ezetimibe,fibrates,0.010127523544318
Spain,baseline,ezetimibe,low_potency_statin_low_dose,0.989872476455682
Brazil,baseline,fibrates,fibrates,0
Brazil,baseline,fibrates,high_potency_statin_high_dose,0
Brazil,baseline,fibrates,high_potency_statin_high_dose_fdc,0
Brazil,baseline,fibrates,high_potency_statin_high_dose_multi,0
Brazil,baseline,fibrates,high_potency_statin_low_dose,0
Brazil,baseline,fibrates,high_potency_statin_low_dose_fdc,0
Brazil,baseline,fibrates,high_potency_statin_low_dose_multi,0
Brazil,baseline,fibrates,lifestyle_intervention,0
Brazil,baseline,fibrates,low_potency_statin_high_dose,0
Brazil,baseline,fibrates,low_potency_statin_high_dose_fdc,0
Brazil,baseline,fibrates,low_potency_statin_high_dose_multi,0
Brazil,baseline,fibrates,low_potency_statin_low_dose_fdc,0
Brazil,baseline,fibrates,low_potency_statin_low_dose_multi,0
Brazil,baseline,fibrates,none,0
Brazil,baseline,fibrates,ezetimibe,0.211483111584992
Brazil,baseline,fibrates,low_potency_statin_low_dose,0.788516888415008
China,baseline,fibrates,fibrates,0
China,baseline,fibrates,high_potency_statin_high_dose,0
China,baseline,fibrates,high_potency_statin_high_dose_fdc,0
China,baseline,fibrates,high_potency_statin_high_dose_multi,0
China,baseline,fibrates,high_potency_statin_low_dose,0
China,baseline,fibrates,high_potency_statin_low_dose_fdc,0
China,baseline,fibrates,high_potency_statin_low_dose_multi,0
China,baseline,fibrates,lifestyle_intervention,0
China,baseline,fibrates,low_potency_statin_high_dose,0
China,baseline,fibrates,low_potency_statin_high_dose_fdc,0
China,baseline,fibrates,low_potency_statin_high_dose_multi,0
China,baseline,fibrates,low_potency_statin_low_dose_fdc,0
China,baseline,fibrates,low_potency_statin_low_dose_multi,0
China,baseline,fibrates,none,0
China,baseline,fibrates,ezetimibe,0.011722827062293
China,baseline,fibrates,low_potency_statin_low_dose,0.988277172937706
France,baseline,fibrates,fibrates,0
France,baseline,fibrates,high_potency_statin_high_dose,0
France,baseline,fibrates,high_potency_statin_high_dose_fdc,0
France,baseline,fibrates,high_potency_statin_high_dose_multi,0
France,baseline,fibrates,high_potency_statin_low_dose,0
France,baseline,fibrates,high_potency_statin_low_dose_fdc,0
France,baseline,fibrates,high_potency_statin_low_dose_multi,0
France,baseline,fibrates,lifestyle_intervention,0
France,baseline,fibrates,low_potency_statin_high_dose,0
France,baseline,fibrates,low_potency_statin_high_dose_fdc,0
France,baseline,fibrates,low_potency_statin_high_dose_multi,0
France,baseline,fibrates,low_potency_statin_low_dose_fdc,0
France,baseline,fibrates,low_potency_statin_low_dose_multi,0
France,baseline,fibrates,none,0
France,baseline,fibrates,ezetimibe,0.116356884178378
France,baseline,fibrates,low_potency_statin_low_dose,0.883643115821622
Italy,baseline,fibrates,fibrates,0
Italy,baseline,fibrates,high_potency_statin_high_dose,0
Italy,baseline,fibrates,high_potency_statin_high_dose_fdc,0
Italy,baseline,fibrates,high_potency_statin_high_dose_multi,0
Italy,baseline,fibrates,high_potency_statin_low_dose,0
Italy,baseline,fibrates,high_potency_statin_low_dose_fdc,0
Italy,baseline,fibrates,high_potency_statin_low_dose_multi,0
Italy,baseline,fibrates,lifestyle_intervention,0
Italy,baseline,fibrates,low_potency_statin_high_dose,0
Italy,baseline,fibrates,low_potency_statin_high_dose_fdc,0
Italy,baseline,fibrates,low_potency_statin_high_dose_multi,0
Italy,baseline,fibrates,low_potency_statin_low_dose_fdc,0
Italy,baseline,fibrates,low_potency_statin_low_dose_multi,0
Italy,baseline,fibrates,none,0
Italy,baseline,fibrates,ezetimibe,0.266800094745431
Italy,baseline,fibrates,low_potency_statin_low_dose,0.733199905254569
Russian Federation,baseline,fibrates,fibrates,0
Russian Federation,baseline,fibrates,high_potency_statin_high_dose,0
Russian Federation,baseline,fibrates,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,fibrates,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,fibrates,high_potency_statin_low_dose,0
Russian Federation,baseline,fibrates,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,fibrates,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,fibrates,lifestyle_intervention,0
Russian Federation,baseline,fibrates,low_potency_statin_high_dose,0
Russian Federation,baseline,fibrates,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,fibrates,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,fibrates,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,fibrates,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,fibrates,none,0
Russian Federation,baseline,fibrates,ezetimibe,0.002629136518557
Russian Federation,baseline,fibrates,low_potency_statin_low_dose,0.997370863481443
Spain,baseline,fibrates,fibrates,0
Spain,baseline,fibrates,high_potency_statin_high_dose,0
Spain,baseline,fibrates,high_potency_statin_high_dose_fdc,0
Spain,baseline,fibrates,high_potency_statin_high_dose_multi,0
Spain,baseline,fibrates,high_potency_statin_low_dose,0
Spain,baseline,fibrates,high_potency_statin_low_dose_fdc,0
Spain,baseline,fibrates,high_potency_statin_low_dose_multi,0
Spain,baseline,fibrates,lifestyle_intervention,0
Spain,baseline,fibrates,low_potency_statin_high_dose,0
Spain,baseline,fibrates,low_potency_statin_high_dose_fdc,0
Spain,baseline,fibrates,low_potency_statin_high_dose_multi,0
Spain,baseline,fibrates,low_potency_statin_low_dose_fdc,0
Spain,baseline,fibrates,low_potency_statin_low_dose_multi,0
Spain,baseline,fibrates,none,0
Spain,baseline,fibrates,ezetimibe,0.192719356672754
Spain,baseline,fibrates,low_potency_statin_low_dose,0.807280643327246
Brazil,baseline,high_potency_statin_high_dose,ezetimibe,0
Brazil,baseline,high_potency_statin_high_dose,fibrates,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,none,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0.315573770491803
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0.684426229508197
China,baseline,high_potency_statin_high_dose,ezetimibe,0
China,baseline,high_potency_statin_high_dose,fibrates,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
China,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
China,baseline,high_potency_statin_high_dose,none,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0.315573770491803
China,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0.684426229508197
France,baseline,high_potency_statin_high_dose,ezetimibe,0
France,baseline,high_potency_statin_high_dose,fibrates,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
France,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
France,baseline,high_potency_statin_high_dose,none,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0.315573770491803
France,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0.684426229508197
Italy,baseline,high_potency_statin_high_dose,ezetimibe,0
Italy,baseline,high_potency_statin_high_dose,fibrates,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,none,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0.315573770491803
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0.684426229508197
Russian Federation,baseline,high_potency_statin_high_dose,ezetimibe,0
Russian Federation,baseline,high_potency_statin_high_dose,fibrates,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,none,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0.315573770491803
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0.684426229508197
Spain,baseline,high_potency_statin_high_dose,ezetimibe,0
Spain,baseline,high_potency_statin_high_dose,fibrates,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,none,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0.315573770491803
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0.684426229508197
Brazil,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Brazil,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,none,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.306811758055399
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0.315573770491803
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0.377614471452798
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,0
China,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
China,baseline,high_potency_statin_high_dose_fdc,fibrates,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
China,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
China,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
China,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
China,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
China,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
China,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
China,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
China,baseline,high_potency_statin_high_dose_fdc,none,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.271032786885246
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0.315573770491803
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0.413393442622951
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,0
France,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
France,baseline,high_potency_statin_high_dose_fdc,fibrates,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
France,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
France,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
France,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
France,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
France,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
France,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
France,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
France,baseline,high_potency_statin_high_dose_fdc,none,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.219016393442623
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0.315573770491803
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0.465409836065574
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Italy,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Italy,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
Italy,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Italy,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Italy,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Italy,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Italy,baseline,high_potency_statin_high_dose_fdc,none,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.267818959372773
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0.315573770491803
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0.416607270135424
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,none,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.271032786885246
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0.315573770491803
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0.413393442622951
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Spain,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Spain,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
Spain,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Spain,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
