location,scenario,current_treatment,next_treatment,value
Brazil,baseline,ezetimibe,ezetimibe,0
Brazil,baseline,ezetimibe,fibrates,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Brazil,baseline,ezetimibe,lifestyle_intervention,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose,0.336244541484716
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0.366209908146363
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_multi,0.29754555036892
Brazil,baseline,ezetimibe,none,0
China,baseline,ezetimibe,ezetimibe,0
China,baseline,ezetimibe,fibrates,0
China,baseline,ezetimibe,high_potency_statin_high_dose,0
China,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
China,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
China,baseline,ezetimibe,high_potency_statin_low_dose,0
China,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
China,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
China,baseline,ezetimibe,lifestyle_intervention,0
China,baseline,ezetimibe,low_potency_statin_high_dose,0
China,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
China,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
China,baseline,ezetimibe,low_potency_statin_low_dose,0.336244541484716
China,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0.400908296943231
China,baseline,ezetimibe,low_potency_statin_low_dose_multi,0.262847161572052
China,baseline,ezetimibe,none,0
France,baseline,ezetimibe,ezetimibe,0
France,baseline,ezetimibe,fibrates,0
France,baseline,ezetimibe,high_potency_statin_high_dose,0
France,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
France,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
France,baseline,ezetimibe,high_potency_statin_low_dose,0
France,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
France,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
France,baseline,ezetimibe,lifestyle_intervention,0
France,baseline,ezetimibe,low_potency_statin_high_dose,0
France,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
France,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
France,baseline,ezetimibe,low_potency_statin_low_dose,0.336244541484716
France,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0.451353711790393
France,baseline,ezetimibe,low_potency_statin_low_dose_multi,0.212401746724891
France,baseline,ezetimibe,none,0
Italy,baseline,ezetimibe,ezetimibe,0
Italy,baseline,ezetimibe,fibrates,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Italy,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Italy,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Italy,baseline,ezetimibe,lifestyle_intervention,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Italy,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Italy,baseline,ezetimibe,low_potency_statin_low_dose,0.336244541484716
Italy,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0.404025061704955
Italy,baseline,ezetimibe,low_potency_statin_low_dose_multi,0.259730396810328
Italy,baseline,ezetimibe,none,0
Russian Federation,baseline,ezetimibe,ezetimibe,0
Russian Federation,baseline,ezetimibe,fibrates,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,ezetimibe,high_potency_statin_low_dose,0
